id,name,brand,variant,power_badge,status_Official,location,shop_name,price,rating,sold,url_shop,url_image
15004165693,PS4 / PLAYSTATION 4 SONY SLIM HDD 1TB FULLSET,Sony,Playstation,True,True,Jakarta Utara,PS Enterprise Official,1949000,5.0,63,https://www.tokopedia.com/psenterprise/ps4-playstation-4-sony-slim-hdd-1tb-fullset-fat-500gb-no-stick-ebdcb?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/23/8b5d6f03-fcf1-4b1e-8a5e-edae1760529a.jpg
13731147156,PS4 Slim HEN Playstation 4 Slim HEN CFW 1TB Full Game,Sony,Playstation,True,True,Jakarta Pusat,Butikgames,2950000,5.0,41,https://www.tokopedia.com/butikgames/ps4-slim-hen-playstation-4-slim-hen-cfw-1tb-full-game-fat500gb-ce575?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/0f0fe91b-8581-452d-82e9-875fb1962523.jpg
14835661317,SONY PS4 Playstation 4 Fat Slim Pro 500 GB 1 TB Bonus Bundle Hit Games,Sony,Playstation,True,True,Surabaya,Kyuuden Store,2450000,5.0,989,https://www.tokopedia.com/kyuudenmusic/sony-ps4-playstation-4-fat-slim-pro-500-gb-1-tb-bonus-bundle-hit-games-fat-500-gb-1-stik-e6f5d?extParam=ivf%3Dtrue%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/27/bc5ecaa8-bc8a-463d-95c9-4f0a1fca3b69.jpg
12493464779,SONY PS5 Playstation 5 Disc Digital Resmi Sony Indonesia Bonus Games,Sony,Playstation,True,True,Surabaya,Kyuuden Store,7699000,5.0,441,https://www.tokopedia.com/kyuudenmusic/sony-ps5-playstation-5-disc-digital-resmi-sony-indonesia-bonus-games-digital-inter-1-stik-campur-4a4fa?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/24/4faa49da-7380-4ffb-a67d-ab71e56dd688.png
12719718107,Sony PS5 Slim Console Disc Edition Sony Playstation 5,Sony,Playstation,True,True,Jakarta Selatan,Sony Center Official,9699000,5.0,194,https://www.tokopedia.com/sony/sony-ps5-slim-console-disc-edition-sony-playstation-5-unit-only-3e403?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2211429,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/27/f86a72e2-3728-4fc6-bbfe-0d14fcd94a5c.jpg
12177109814,Sony PS5 Console Slim Model PS 5 Playstation 5 Console Disc & Digital,Sony,Playstation,True,True,Jakarta Barat,souvigameshop,7199000,5.0,402,https://www.tokopedia.com/souvigameshop/sony-ps5-console-slim-model-ps-5-playstation-5-console-disc-digital-slim-digital-jp-22871?extParam=ivf%3Dtrue%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/19/2e4d95a5-57f5-4e40-a944-212fc21ff830.png
6101397826,PS2 HDD 120GB FAT Playstation 2 Full Games + 2 Stik,Sony,Playstation,True,False,Jakarta Utara,Matahari Game,520000,5.0,1012,https://www.tokopedia.com/mataharigame/ps2-hdd-120gb-fat-playstation-2-full-games-2-stik-mesin-aja-1-stik?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/2/721300cf-5581-4108-836f-aa92687631dd.jpg
7955468488,PS4 Slim Playstation 4 SONY HDD 1TB,Sony,Playstation,True,False,Jakarta Barat,IWAN FEBRIANTO,2099000,5.0,480,https://www.tokopedia.com/16-18/ps4-slim-playstation-4-sony-hdd-1tb-fat-500gb-1stik-paket-a?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/25/e5da3a33-8f74-4c3f-b635-915114ccaf6a.jpg
13112929635,SONY PlayStation 5 / PS5 Console Digital Edition Slim 1TB (SI),Sony,Playstation,True,True,Jakarta Utara,PS Enterprise Official,7171000,5.0,78,https://www.tokopedia.com/psenterprise/sony-playstation-5-ps5-console-digital-edition-slim-1tb-si-preloved-05412?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/15/f1add7c3-5cd7-44f7-ab2d-3111c75b1add.jpg
12719812606,Sony PS5 Slim Console Digital Edition Sony Playstation 5 ,Sony,Playstation,True,True,Jakarta Selatan,Sony Center Official,8199000,5.0,82,https://www.tokopedia.com/sony/sony-ps5-slim-console-digital-edition-sony-playstation-5-unit-1405e?extParam=ivf%3Dtrue%26src%3Dsearch%26whid%3D2211429,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/6/33b10992-298a-4536-b6cb-3fcdf550e2a9.jpg
13626981799,PS4 HEN Fat Slim Pro Sony Playstation 4 ( Auto Hen ),Sony,Playstation,True,False,Jakarta Barat,JS GAME,2699000,5.0,8,https://www.tokopedia.com/jsgameshop/ps4-hen-fat-slim-pro-sony-playstation-4-auto-hen-fat-500gb-11-00-1-stick-9bffb?extParam=ivf%3Dfalse%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/9/bc8df171-8a5a-4c15-8713-28f33463b1b9.jpg
