name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
Sony PS4 Pro 1TB Playstation 4 Pro 1TB,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,3500000.0,5.0,226.0,https://www.tokopedia.com/butikgames/sony-ps4-pro-1tb-playstation-4-pro-1tb-no-games?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/20/752b15fc-fadb-49fb-a528-bdb2e90f6aec.jpg.webp?ect=3g
Sony PS5 Slim Console Disc Edition Sony Playstation 5,Sony,PlayStation,official store badge,True,Jakarta Selatan,Sony Center Official,9699000.0,5.0,194.0,https://www.tokopedia.com/sony/sony-ps5-slim-console-disc-edition-sony-playstation-5-unit-only-3e403?extParam=ivf%3Dfalse%26whid%3D2211429,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/27/f86a72e2-3728-4fc6-bbfe-0d14fcd94a5c.jpg.webp?ect=3g
PS5 Console PS5 Slim Disc Version - PS5 Slim Console Digital Version,Sony,PlayStation,official store badge,True,Jakarta Pusat,Super-Gameshop,7175000.0,5.0,160.0,https://www.tokopedia.com/super-gameshop/ps5-console-ps5-slim-disc-version-ps5-slim-console-digital-version-ps5-slim-digitl-grsi-toko-7hari-ec817?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/11/8741536b-5cb2-4dfd-b22a-6b49a9840fef.jpg.webp?ect=3g
PS4 / PLAYSTATION 4 SONY SLIM HDD 1TB FULLSET,Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,1949000.0,5.0,63.0,https://www.tokopedia.com/psenterprise/ps4-playstation-4-sony-slim-hdd-1tb-fullset-fat-500gb-no-stick-ebdcb?extParam=cmp%3D1%26ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/23/8b5d6f03-fcf1-4b1e-8a5e-edae1760529a.jpg.webp?ect=3g
PS4 Hen Full Game PS 4 Pro Slim Fat 500GB 1TB CFW Sony Playstation,Sony,PlayStation,official store badge,True,Malang,supergame malang,2290000.0,5.0,46.0,https://www.tokopedia.com/supergame-malang/ps4-hen-full-game-ps-4-pro-slim-fat-500gb-1tb-cfw-sony-playstation-fat-ofw-tanpa-stik-436bb?extParam=cmp%3D1%26ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/12/934658fa-a3b6-4763-a3ec-9cc50fed3752.jpg.webp?ect=3g
PS4 Slim HEN Playstation 4 Slim HEN CFW 1TB Full Game,Sony,PlayStation,official store badge,True,Jakarta Pusat,Butikgames,2950000.0,5.0,41.0,https://www.tokopedia.com/butikgames/ps4-slim-hen-playstation-4-slim-hen-cfw-1tb-full-game-fat500gb-ce575?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/5/29/0f0fe91b-8581-452d-82e9-875fb1962523.jpg.webp?ect=3g
PS2 HDD 120GB FAT Playstation 2 Full Games + 2 Stik,Sony,PlayStation,official store badge,True,Jakarta Utara,Matahari Game,520000.0,5.0,1012.0,https://www.tokopedia.com/mataharigame/ps2-hdd-120gb-fat-playstation-2-full-games-2-stik-mesin-aja-1-stik?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/2/721300cf-5581-4108-836f-aa92687631dd.jpg.webp?ect=3g
PS4 Slim Playstation 4 SONY HDD 1TB,Sony,PlayStation,official store badge,True,Jakarta Barat,IWAN FEBRIANTO,2099000.0,5.0,480.0,https://www.tokopedia.com/16-18/ps4-slim-playstation-4-sony-hdd-1tb-fat-500gb-1stik-paket-a?extParam=cmp%3D1%26ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/25/e5da3a33-8f74-4c3f-b635-915114ccaf6a.jpg.webp?ect=3g
Sony PS5 Slim Console Digital Edition Sony Playstation 5 ,Sony,PlayStation,official store badge,True,Jakarta Selatan,Sony Center Official,8199000.0,5.0,82.0,https://www.tokopedia.com/sony/sony-ps5-slim-console-digital-edition-sony-playstation-5-unit-1405e?extParam=ivf%3Dtrue%26whid%3D2211429,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/8/6/33b10992-298a-4536-b6cb-3fcdf550e2a9.jpg.webp?ect=3g
PSN Wallet PS4 100k 300K 600K Gift Card IDR Indonesia Resmi Fisik ,Sony,PlayStation,official store badge,True,Malang,supergame malang,125000.0,5.0,74.0,https://www.tokopedia.com/supergame-malang/psn-wallet-ps4-100k-300k-600k-gift-card-idr-indonesia-resmi-fisik-100k-a7511?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/13/81262709-9b50-40aa-82cf-fcf7e7e2734e.jpg.webp?ect=3g
Gamepad Stick MTECH PC XBOX Kabel Wired USB Laptop Joystick Controller,Sony,PlayStation,official store badge,True,Jakarta Barat,MULTI KOMPUTER,78000.0,5.0,6.0,https://www.tokopedia.com/multikomputer201/gamepad-stick-mtech-pc-xbox-kabel-wired-usb-laptop-joystick-controller-hitam-e5cc1?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/5/17/21d5a824-0831-4fa6-9807-d1ad3ac3830f.jpg.webp?ect=3g
Sony Playstation 5 Slim Disc / Digital Edition PS5 PS Play Station 5,Sony,PlayStation,official store badge,True,Jakarta Pusat,Studio Ponsel,7937000.0,5.0,65.0,https://www.tokopedia.com/studioponsel/sony-playstation-5-slim-disc-digital-edition-ps5-ps-play-station-5-digital-edition-stick-1-4e9b2?extParam=ivf%3Dtrue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/25/ceea8c7f-901b-44ec-a63c-85eaf6121c6a.png.webp?ect=3g
