name,brand,variant,power_badge,status_official,location,shop_name,price,rating,sold,url_shop,url_image
PS4 It Takes Two (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,338870.0,5.0,214.0,https://www.tokopedia.com/psenterprise/ps4-it-takes-two-r3-english-reg-2?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/21/d42cce14-5299-4bca-8ee3-e2750e18e74c.jpg.webp?ect=3g
Ps4 Grand Theft Auto V / GTA V Premium Edition (English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,265000.0,5.0,238.0,https://www.tokopedia.com/psenterprise/ps4-grand-theft-auto-v-gta-v-premium-edition-english-reg-2?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/18/e7cb418b-e47a-49ca-81ff-7d998b6acfba.jpg.webp?ect=3g
PS5 God Of War Ragnarok / GOW Ragnarok,Sony,PlayStation,official store badge,True,Jakarta Selatan,Rocket games,719000.0,5.0,161.0,https://www.tokopedia.com/rocketgames/ps5-god-of-war-ragnarok-gow-ragnarok-reg-3-60e0f?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/8/066b5803-9ffc-494c-b81a-3a23f0c32f10.jpg.webp?ect=3g
PS5 God of War Ragnarok (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,999000.0,5.0,437.0,https://www.tokopedia.com/psenterprise/ps5-god-of-war-ragnarok-r3-english-reg-3-f4553?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/15/01f83c7a-0ab3-41ce-ba14-d124a4cdf5f9.jpg.webp?ect=3g
PS5 Stellar Blade,Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,967170.0,5.0,82.0,https://www.tokopedia.com/psenterprise/ps5-stellar-blade-euro-bda5d?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/7/ca328834-eb50-4742-be79-213b1ac486bb.jpg.webp?ect=3g
Ps4 Red Dead Redemption 2 Reg 3,Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,329000.0,5.0,1103.0,https://www.tokopedia.com/psenterprise/ps4-red-dead-redemption-2-reg-3-reg-1?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/8/aeda3387-5963-4123-8e25-635e0d795808.jpg.webp?ect=3g
PS5 Persona 5 The Royal (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,355350.0,5.0,39.0,https://www.tokopedia.com/psenterprise/ps5-persona-5-the-royal-r3-english-r4-english-fdb6a?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/24/87a29e1e-9e82-4595-b3d0-2ad1d1711abc.jpg.webp?ect=3g
PS5 Elden Ring Shadow of the Erdtree Edition,Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,956870.0,5.0,46.0,https://www.tokopedia.com/psenterprise/ps5-elden-ring-shadow-of-the-erdtree-edition-reg-2-a34c9?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/14/3a853c82-20cf-4eda-b7a7-bf398969f7fc.jpg.webp?ect=3g
PS4 Cyberpunk 2077 (R3/English),Sony,PlayStation,official store badge,True,Jakarta Utara,PS Enterprise Official,319000.0,5.0,1042.0,https://www.tokopedia.com/psenterprise/ps4-cyberpunk-2077-r3-english-game-only?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/19/dc22e132-7737-4ed1-a178-1d7fd91b63ab.jpg.webp?ect=3g
PS5 God Of War Ragnarok / Gow Ragnarok,Sony,PlayStation,official store badge,True,Jakarta Utara,Suyanto//Liberty Game,624000.0,5.0,159.0,https://www.tokopedia.com/libertygame/ps5-god-of-war-ragnarok-gow-ragnarok-game-fisik-r2-9b77f?extParam=ivf%3Dfalse,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/10/09bef106-19bd-491f-8995-9244729c383d.jpg.webp?ect=3g
